listing_id,room_type,city,bed,rules
1,Private room,Roma,3,No rule
2,Entire home/apt,Taipei,1,"Quiet time (including TV sound turned low) at 9:30 PM, though guests, of course, can come and go before and after that. Just be respectful that this is also a house where we live and work. Also, no smoking and no pets - thanks."
3,Private room,Roma,3,No rule
4,Private room,Roma,4,Clean up and treat the home the way you'd like your home to be treated.  No smoking.
5,Entire home/apt,Paris,4,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling t
6,Entire home/apt,New York,3,"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first t"
7,Entire home/apt,Roma,4,Please no smoking in the house
8,Private room,Taipei,1,No smoking
9,Private room,Paris,3,Please no shoes in the house so bring slippers or extra socks to keep your feet warm- especially in winter! No smoking either inside or outside. Please be considerate of neighbors from 10pm-7am in terms of noise. Please take out any trash and leave in the
10,Private room,Taipei,4,House Guidelines for our BnB We are delighted to welcome you.  Check in Sun – Thurs by 8PM and Fri
11,Private room,New York,3,- Please clean up after yourself when using the kitchen. - When using the bathroom
12,Entire home/apt,Taipei,2,NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill
13,Entire home/apt,Tokyo,2,My ideal guests would be warm
14,Private room,Taipei,4,- One of the bedroom closets is not accessible to guests - Please be mindful of the neighbors
15,Private room,Roma,4,LAUNDRY - Laundry can be done by the visitor before 10 pm
16,Private room,New York,3,No smoking
17,Entire home/apt,New York,1,- No smoking or open flames on the property - Please respect the peace and privacy of our neighbors  - Access Roslindale Urban Wild from street - do not jump backyard fence - Max of 3 occupants
18,Entire home/apt,Paris,3,Arrival time can be no later than 10:00PM. No visitors allowed at anytime without prior approval. Overnight guests are only allowed as part of the reservation. Never more than 2 people in this room.  No smoking. 11:00 PM is quiet time while watching priva
19,Entire home/apt,San Fran,3,No rules
20,Private room,New York,3,We take great care of our home and expect you to do the same.  Smoking is not permitted anywhere on the property.
21,Entire home/apt,San Fran,2,No rules
22,Entire home/apt,San Fran,2,Quiet neighborhood
23,Entire home/apt,San Fran,1,To treat our home with respect.  No smoking inside but feel free to use the front porch.  The marble in the bathroom is very easily stained. We ask that you limit drinking coffee
24,Private room,Tokyo,3,Please no pets or smoking in the house
25,Private room,Roma,2,My ideal guests would be warm
26,Private room,Tokyo,4,Just be respectful
27,Entire home/apt,Taipei,4,No loud noises or loud music. Please help us save the planet by shutting off all the lights when they are not needed. Make sure the coffee maker
28,Private room,New York,3,No rule
29,Private room,Roma,3,LAUNDRY - Laundry can be done by the visitor before 10 pm
30,Entire home/apt,New York,2,Please no smoking on the property
31,Private room,New York,3,No smoking
32,Entire home/apt,Roma,2,No rule
33,Private room,Tokyo,1,NO Shoes in the house. This is why my house is so clean!  NO Smoking inside or outside (cigarettes or anything else).  NO Parties (inside or outside). NO pets (inside or out)  This is a nice quiet neighborhood. Please be respectful of others.
34,Private room,Paris,1,Please no shoes inside the house and no  smoking (cigarettes or anything else) either in or outside. Please be respectful of neighbors in the evening and early morning (10pm-7am). When you leave at the end of your stay
35,Private room,New York,1,House Guidelines for our BnB We are delighted to welcome you.  Check in Sun – Thurs by 8PM and Fri
36,Private room,San Fran,3,Not smoking
37,Private room,Roma,3,No rule
38,Private room,Roma,3,No smoking inside. Since I have a dog
39,Private room,Paris,1,No smoking
40,Entire home/apt,New York,3,Free WiFi! * No smoking anywhere on property. *No out-door shoes to be worn in the house. We ask that guests be willing to be considerate and quiet while coming and going from 10 pm to 6 am
41,Private room,New York,1,- Quiet hours between 10pm-6am - Visitors in common spaces only
42,Shared room,San Fran,2,No rule
43,Private room,Paris,4,The room is strictly non-smoking
44,Entire home/apt,New York,2,No smoking
