id,listing_id,rate
1,1,4.2
2,2,3.5
3,3,4.6
4,4,1.3
5,5,2.5
6,6,1.3
7,7,3
8,8,3.7
9,9,1.6
10,10,1.6
11,11,2.4
12,12,3.4
13,13,3
14,14,3.8
15,15,2.1
16,16,2.3
17,17,2.3
18,18,3
19,19,3.3
20,20,4.8
21,21,1.1
22,22,1.2
23,23,4.7
24,24,4.9
25,25,4.8
26,26,2.6
27,27,2.8
28,28,2.7
29,29,4.3
30,30,2.2
31,31,4.1
32,32,4.5
33,33,2.2
34,34,3.9
35,35,4.1
36,36,1.4
37,37,2.9
38,38,3.5
39,39,4
40,40,1.8
41,41,1.1
42,42,2.5
43,43,1.9
44,44,2.6
45,45,3.4
46,46,1.2
47,47,2.3
48,48,2.3
49,49,4.8
50,50,1.4
51,51,1.1
52,52,4.2
53,53,2.8
54,54,2.4
55,55,4.3
56,56,3.8
57,57,1.1
58,58,1.4
59,59,4.1
60,60,4.1
61,61,3.5
62,62,4.1
63,63,4.4
64,64,3.7
65,65,1.7
66,66,2
67,67,3.7
68,68,1.3
69,69,4.2
70,70,1.8
71,71,3.9
72,72,2.5
73,73,3.6
74,74,3.7
75,75,2.3
76,76,1.8
77,77,4.7
78,78,1.4
79,79,3
80,80,2.7
81,81,1.3
82,82,2.9
83,83,2.9
84,84,1.3
85,85,2.8
86,86,4.5
87,87,4.2
88,88,2.6
89,89,2.9
90,90,2.5
91,91,1.8
92,92,4.8
93,93,3.6
94,94,3.4
95,95,1.7
96,96,2.6
97,97,1.7
98,98,3.5
99,99,3.5
100,100,4
